,순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분
0,1.0,명량,김한민,(주)빅스톤픽쳐스,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910","17,613,682","33,121,225,810","4,163,666",사극,15세이상관람가,일반영화
1,2.0,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944","31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
2,3.0,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137","14,410,754","27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
3,4.0,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,"110,828,014,630","14,245,998","25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화
4,5.0,베테랑,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400","26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
5,6.0,도둑들,최동훈,(주)케이퍼필름,(주)쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500","12,983,330","26,089,426,500","3,468,906",액션,15세이상관람가,일반영화
6,7.0,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670","12,811,206","22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화
7,8.0,암살,최동훈,(주)케이퍼필름,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700","25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
8,9.0,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,"88,900,208,769","12,319,542","25,192,804,727","3,355,700",사극,15세이상관람가,일반영화
9,10.0,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247","22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
10,11.0,택시운전사,장훈,더램프(주),(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049","12,099,971","22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
11,12.0,부산행,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048","11,565,078","23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
12,13.0,해운대,윤제균,(주)제이케이필름,씨제이엔터테인먼트,2009-07-22,개봉영화,장편,한국,753,"81,934,638,201","11,453,338","21,141,403,500","2,791,508",액션,12세이상관람가,일반영화
13,14.0,변호인,양우석,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300","11,372,451","22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화
14,15.0,기생충,봉준호,(주)바른손이앤에이,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,"1,948","85,883,963,645","10,085,275","23,443,568,915","2,692,855",드라마,15세이상관람가,일반영화
15,16.0,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092","18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
